position,name,profile_id,points,owner,year,week,gsis_id,birthdate
QB,Michael Vick,2504531,23.18,Brock,2011,1,00-0020245,6/26/1980
RB,Knowshon Moreno,79619,3.70,Brock,2011,1,00-0026988,7/16/1987
RB,DeAngelo Williams,2495979,3.60,Brock,2011,1,00-0024242,4/25/1983
WR,Greg Jennings,2495867,14.90,Brock,2011,1,00-0024267,9/21/1983
WR,Mike Williams,2508048,11.00,Brock,2011,1,00-0027702,5/18/1987
TE,Marcedes Lewis,2495888,2.80,Brock,2011,1,00-0024243,5/19/1984
Q/R/W/T,Kyle Orton,2506444,13.46,Brock,2011,1,00-0023541,11/14/1982
BN,BenJarvus Green-Ellis,929,9.40,Brock,2011,1,00-0025860,7/2/1985
BN,Danny Woodhead,4327,7.50,Brock,2011,1,00-0026019,1/25/1985
BN,Mike Goodson,80644,1.38,Brock,2011,1,00-0027080,5/23/1987
BN,Mike Thomas,81308,5.50,Brock,2011,1,00-0027076,6/4/1987
BN,Malcom Floyd,2505785,4.50,Brock,2011,1,00-0022414,9/8/1981
BN,Luke McCown,2506053,6.00,Brock,2011,1,00-0022864,7/12/1981
K,Neil Rackers,2504287,10.00,Brock,2011,1,00-0019676,8/16/1976
DEF,Los Angeles Chargers,100028,5.00,Brock,2011,1
QB,Philip Rivers,2506121,17.10,tim,2011,1,00-0022942,12/8/1981
RB,Ryan Mathews,497188,11.80,tim,2011,1,00-0027864,10/10/1987
RB,Joseph Addai,2495793,5.20,tim,2011,1,00-0024245,5/3/1983
WR,Roddy White,2506366,6.10,tim,2011,1,00-0023462,11/2/1981
WR,Vincent Jackson,2506400,3.10,tim,2011,1,00-0023496,1/14/1983
TE,Jason Witten,2505629,11.00,tim,2011,1,00-0022127,5/6/1982
Q/R/W/T,Eli Manning,2505996,14.92,tim,2011,1,00-0022803,1/3/1981
BN,Mario Manningham,1030,4.90,tim,2011,1,00-0026235,5/25/1986
BN,Montario Hardesty,497178,1.80,tim,2011,1,00-0027666,2/1/1987
BN,Ryan Grant,2506140,4.50,tim,2011,1,00-0022984,12/9/1982
BN,Jason Campbell,2506364,14.40,tim,2011,1,00-0023460,12/31/1981
BN,Marshawn Lynch,2495663,4.70,tim,2011,1,00-0025399,4/22/1986
BN,Michael Crabtree,71269,0.40,tim,2011,1,00-0026986,9/14/1987
K,Lawrence Tynes,2504346,1.00,tim,2011,1,00-0019778,5/3/1978
DEF,New York Giants,100023,5.00,tim,2011,1
QB,Tony Romo,2505354,18.58,Matt,2011,1,00-0021678,4/21/1980
RB,Jonathan Stewart,949,4.00,Matt,2011,1,00-0026153,3/21/1987
RB,Michael Bush,2507192,3.00,Matt,2011,1,00-0025487,6/16/1984
WR,DeSean Jackson,1581,16.20,Matt,2011,1,00-0026189,12/1/1986
WR,Brandon Lloyd,2505600,8.90,Matt,2011,1,00-0022097,7/5/1981
TE,Kellen Winslow,2506107,6.60,Matt,2011,1,00-0022922,7/21/1983
Q/R/W/T,Matt Cassel,2506562,6.36,Matt,2011,1,00-0023662,5/17/1982
BN,Arian Foster,79555,0.00,Matt,2011,1,00-0026796,8/24/1986
BN,James Starks,497206,11.70,Matt,2011,1,00-0027791,2/25/1986
BN,Jacoby Ford,497288,-0.10,Matt,2011,1,00-0027709,7/27/1987
BN,Thomas Jones,2504252,0.30,Matt,2011,1,00-0019641,8/19/1978
BN,A.J. Green,2495450,10.10,Matt,2011,1,00-0027942,7/31/1988
BN,Greg Olsen,2495700,7.80,Matt,2011,1,00-0025418,3/11/1985
K,Josh Brown,2505459,6.00,Matt,2011,1,00-0021940,4/29/1979
DEF,Atlanta Falcons,100001,12.00,Matt,2011,1
QB,Aaron Rodgers,2506363,24.58,Eric,2011,1,00-0023459,12/2/1983
RB,Darren McFadden,284,15.60,Eric,2011,1,00-0026144,8/27/1987
RB,LeGarrette Blount,497149,1.50,Eric,2011,1,00-0027325,12/5/1986
WR,Dwayne Bowe,2495558,1.70,Eric,2011,1,00-0025410,9/21/1984
WR,Brandon Marshall,2495893,13.90,Eric,2011,1,00-0024334,3/23/1984
TE,Rob Gronkowski,497240,14.82,Eric,2011,1,00-0027656,5/14/1989
Q/R/W/T,Kevin Kolb,2507169,18.26,Eric,2011,1,00-0025423,8/24/1984
BN,Kenny Britt,71217,25.60,Eric,2011,1,00-0027006,9/19/1988
BN,Javon Ringer,79635,0.00,Eric,2011,1,00-0027120,2/2/1987
BN,Derrick Ward,2505967,9.90,Eric,2011,1,00-0022770,8/30/1980
BN,Andy Dalton,2495143,7.24,Eric,2011,1,00-0027973,10/29/1987
BN,Mark Ingram,2495466,4.00,Eric,2011,1,00-0027966,12/21/1989
BN,Danny Amendola,2649,4.50,Eric,2011,1,00-0026035,11/2/1985
K,Billy Cundiff,2504941,9.00,Eric,2011,1,00-0020972,3/30/1980
DEF,Baltimore Ravens,100002,22.00,Eric,2011,1
QB,Ryan Fitzpatrick,2506581,24.62,Daniel,2011,1,00-0023682,11/24/1982
RB,Ahmad Bradshaw,2495560,11.40,Daniel,2011,1,00-0025637,3/19/1986
RB,Adrian Peterson,2507164,10.40,Daniel,2011,1,00-0025394,3/21/1985
WR,Reggie Wayne,2504747,16.60,Daniel,2011,1,00-0020498,11/17/1978
WR,Larry Fitzgerald,2506106,6.20,Daniel,2011,1,00-0022921,8/31/1983
TE,Vernon Davis,2495826,4.70,Daniel,2011,1,00-0024221,1/31/1984
Q/R/W/T,Colt McCoy,497123,15.12,Daniel,2011,1,00-0027688,9/5/1986
BN,Tarvaris Jackson,2495863,11.18,Daniel,2011,1,00-0024279,4/21/1983
BN,Kerry Collins,2500150,7.88,Daniel,2011,1,00-0003292,12/30/1972
BN,Santana Moss,2504743,7.60,Daniel,2011,1,00-0020494,6/1/1979
BN,Carson Palmer,2505245,0.00,Daniel,2011,1,00-0021429,12/27/1979
BN,Steven Jackson,2505936,11.60,Daniel,2011,1,00-0022736,7/22/1983
BN,Mike Sims-Walker,2507184,0.50,Daniel,2011,1,00-0025466,11/21/1984
K,Sebastian Janikowski,2504257,12.00,Daniel,2011,1,00-0019646,3/2/1978
DEF,Pittsburgh Steelers,100027,-6.00,Daniel,2011,1
QB,Tom Brady,2504211,34.98,joe,2011,1,00-0019596,8/3/1977
RB,Peyton Hillis,1980,8.70,joe,2011,1,00-0026367,1/21/1986
RB,Maurice Jones-Drew,2495831,15.70,joe,2011,1,00-0024275,3/23/1985
WR,Steve Johnson,768,12.60,joe,2011,1,00-0026364,7/22/1986
WR,Chad Ochocinco,2504651,1.40,joe,2011,1,00-0020397,1/9/1978
TE,Antonio Gates,2505299,7.40,joe,2011,1,00-0021547,6/18/1980
Q/R/W/T,Jay Cutler,2495824,18.48,joe,2011,1,00-0024226,4/29/1983
BN,Tim Hightower,4383,15.70,joe,2011,1,00-0026289,5/23/1986
BN,Jeremy Maclin,80429,2.00,joe,2011,1,00-0026995,5/11/1988
BN,Deji Karim,1037847,7.72,joe,2011,1,00-0027779,11/18/1986
BN,LaDainian Tomlinson,2504778,8.90,joe,2011,1,00-0020536,6/23/1979
BN,Braylon Edwards,2506342,2.70,joe,2011,1,00-0023438,2/21/1983
BN,Chad Henne,252,34.54,joe,2011,1,00-0026197,7/2/1985
K,Jason Hanson,2501016,9.00,joe,2011,1,00-0006800,6/17/1970
DEF,New Orleans Saints,100022,1.00,joe,2011,1
QB,Cam Newton,2495455,30.68,jordan,2011,1,00-0027939,5/11/1989
RB,Matt Forte,234,21.80,jordan,2011,1,00-0026184,12/10/1985
RB,Beanie Wells,79661,16.20,jordan,2011,1,00-0027007,8/7/1988
WR,Andre Johnson,2505551,15.50,jordan,2011,1,00-0022044,7/11/1981
WR,Anquan Boldin,2505587,13.40,jordan,2011,1,00-0022084,10/3/1980
TE,Jermaine Gresham,497238,11.80,jordan,2011,1,00-0027873,6/16/1988
Q/R/W/T,Donovan McNabb,2502044,6.76,jordan,2011,1,00-0011022,11/25/1976
BN,Felix Jones,931,10.60,jordan,2011,1,00-0026162,5/8/1987
BN,Jordy Nelson,1032,13.70,jordan,2011,1,00-0026176,5/31/1985
BN,Austin Collie,81282,0.00,jordan,2011,1,00-0027092,11/11/1985
BN,Peyton Manning,2501863,0.00,jordan,2011,1,00-0010346,3/24/1976
BN,Willis McGahee,2505674,3.50,jordan,2011,1,00-0022178,10/21/1981
BN,Ronnie Brown,2506341,0.70,jordan,2011,1,00-0023437,12/12/1981
K,Rob Bironas,2504934,1.00,jordan,2011,1,00-0020962,1/29/1978
DEF,Chicago Bears,100005,24.00,jordan,2011,1
QB,Matt Schaub,2505982,8.80,Jared,2011,1,00-0022787,6/25/1981
RB,Jamaal Charles,925,10.50,Jared,2011,1,00-0026213,12/27/1986
RB,Jahvid Best,497147,11.40,Jared,2011,1,00-0027880,1/30/1989
WR,Hakeem Nicks,80672,12.20,Jared,2011,1,00-0027005,1/14/1988
WR,Wes Welker,2505790,28.00,Jared,2011,1,00-0022427,5/1/1981
TE,Dallas Clark,2505664,3.90,Jared,2011,1,00-0022165,6/12/1979
Q/R/W/T,Fred Jackson,2506871,11.70,Jared,2011,1,00-0024204,2/20/1981
BN,Johnny Knox,79595,6.00,Jared,2011,1,00-0026913,11/3/1986
BN,Robert Meachem,2495676,13.00,Jared,2011,1,00-0025414,9/28/1984
BN,David Garrard,2505101,0.00,Jared,2011,1,00-0021231,2/14/1978
BN,Brandon Jacobs,2506448,2.90,Jared,2011,1,00-0023545,7/6/1982
BN,Pierre Thomas,2507141,6.80,Jared,2011,1,00-0024813,12/18/1984
BN,Darren Sproles,2506467,17.56,Jared,2011,1,00-0023564,6/20/1983
K,Stephen Gostkowski,2506922,7.00,Jared,2011,1,00-0024333,1/28/1984
DEF,New England Patriots,100021,5.00,Jared,2011,1
QB,Joe Flacco,382,20.96,Keenan,2011,1,00-0026158,1/16/1985
RB,Chris Johnson,262,4.90,Keenan,2011,1,00-0026164,9/23/1985
RB,Cedric Benson,2506343,18.30,Keenan,2011,1,00-0023439,12/28/1982
WR,Dez Bryant,497278,13.34,Keenan,2011,1,00-0027902,11/4/1988
WR,Calvin Johnson,2495647,20.80,Keenan,2011,1,00-0025389,9/29/1985
TE,Tony Gonzalez,2500835,7.20,Keenan,2011,1,00-0006101,2/27/1976
Q/R/W/T,Alex Smith,2506340,13.16,Keenan,2011,1,00-0023436,5/7/1984
BN,Shonn Greene,79563,3.30,Keenan,2011,1,00-0026899,8/21/1985
BN,Steve Smith,2504595,29.80,Keenan,2011,1,00-0020337,5/12/1979
BN,Lee Evans,2506097,0.00,Keenan,2011,1,00-0022910,3/11/1981
BN,Reggie Bush,2506874,15.40,Keenan,2011,1,00-0024217,3/2/1985
BN,Steve Smith,2507175,0.00,Keenan,2011,1,00-0025438,5/6/1985
BN,Donald Brown,2507779,0.00,Keenan,2011,1,00-0027003,4/11/1987
K,Dan Carpenter,2507401,6.00,Keenan,2011,1,00-0026003,11/25/1985
DEF,Houston Texans,100013,17.00,Keenan,2011,1
QB,Ben Roethlisberger,2506109,6.10,Brandon,2011,1,00-0022924,3/2/1982
RB,Rashard Mendenhall,939,2.50,Brandon,2011,1,00-0026163,6/19/1987
RB,Frank Gore,2506404,7.80,Brandon,2011,1,00-0023500,5/14/1983
WR,Percy Harvin,80425,10.26,Brandon,2011,1,00-0026998,5/28/1988
WR,Miles Austin,2495801,15.00,Brandon,2011,1,00-0023921,6/30/1984
TE,Owen Daniels,2495825,1.20,Brandon,2011,1,00-0024313,11/9/1982
Q/R/W/T,Mark Sanchez,79858,17.70,Brandon,2011,1,00-0026898,11/11/1986
BN,C.J. Spiller,497204,8.10,Brandon,2011,1,00-0027861,8/5/1987
BN,Sidney Rice,2495718,0.00,Brandon,2011,1,00-0025431,9/1/1986
BN,Matt Hasselbeck,2501078,17.42,Brandon,2011,1,00-0007091,9/25/1975
BN,Randy Moss,2502220,0.00,Brandon,2011,1,00-0011754,2/13/1977
BN,Hines Ward,2503532,6.70,Brandon,2011,1,00-0017162,3/8/1976
BN,Marion Barber,2506447,0.00,Brandon,2011,1,00-0023544,6/10/1983
K,Nate Kaeding,2505937,0.00,Brandon,2011,1,00-0022737,3/26/1982
DEF,Philadelphia Eagles,100025,17.00,Brandon,2011,1
QB,Matthew Stafford,79860,25.86,Matt,2011,2,00-0026498,2/7/1988
RB,Ray Rice,941,15.60,Matt,2011,2,00-0026195,1/22/1987
RB,Michael Turner,2506014,20.60,Matt,2011,2,00-0022821,2/13/1982
WR,Devery Henderson,2506114,16.30,Matt,2011,2,00-0022929,3/26/1982
WR,Mike Sims-Walker,2507184,9.20,Matt,2011,2,00-0025466,11/21/1984
TE,Jimmy Graham,497236,7.90,Matt,2011,2,00-0027696,11/24/1986
Q/R/W/T,Rex Grossman,2505623,15.14,Matt,2011,2,00-0022121,8/23/1980
BN,Sam Bradford,497095,16.74,Matt,2011,2,00-0027854,11/8/1987
BN,Steve Breaston,2495562,0.70,Matt,2011,2,00-0025529,8/20/1983
BN,Marques Colston,2495821,0.00,Matt,2011,2,00-0024466,6/5/1983
BN,Plaxico Burress,2504253,0.00,Matt,2011,2,00-0019642,8/12/1977
BN,Cadillac Williams,2506344,4.00,Matt,2011,2,00-0023440,4/21/1982
BN,Matt Ryan,310,20.40,Matt,2011,2,00-0026143,5/17/1985
K,Matt Bryant,2504797,5.00,Matt,2011,2,00-0020578,5/29/1975
DEF,New York Jets,100024,19.00,Matt,2011,2
QB,Drew Brees,2504775,23.00,Kevin,2011,2,00-0020531,1/15/1979
RB,LeSean McCoy,79607,23.60,Kevin,2011,2,00-0027029,7/12/1988
RB,Mike Tolbert,2507428,6.30,Kevin,2011,2,00-0026069,11/23/1985
WR,Santonio Holmes,2506885,10.20,Kevin,2011,2,00-0024240,3/3/1984
WR,Mike Wallace,2507763,18.60,Kevin,2011,2,00-0026901,8/1/1986
TE,Jermichael Finley,1072,6.80,Kevin,2011,2,00-0026231,3/26/1987
Q/R/W/T,Josh Freeman,79557,13.32,Kevin,2011,2,00-0026993,1/13/1988
BN,Tim Tebow,497135,0.00,Kevin,2011,2,00-0027876,8/14/1987
BN,Ben Tate,497208,13.50,Kevin,2011,2,00-0027890,8/21/1988
BN,Daniel Thomas,2495241,9.70,Kevin,2011,2,00-0028000,10/29/1987
BN,Delone Carter,2495269,4.60,Kevin,2011,2,00-0028057,6/22/1987
BN,Julio Jones,2495454,2.90,Kevin,2011,2,00-0027944,2/3/1989
K,Alex Henery,2495162,6.00,Kevin,2011,2,00-0028058,8/18/1987
DEF,Green Bay Packers,100011,11.00,Kevin,2011,2
QB,Michael Vick,2504531,14.18,Brock,2011,2,00-0020245,6/26/1980
RB,BenJarvus Green-Ellis,929,13.50,Brock,2011,2,00-0025860,7/2/1985
RB,DeAngelo Williams,2495979,3.60,Brock,2011,2,00-0024242,4/25/1983
WR,Greg Jennings,2495867,11.50,Brock,2011,2,00-0024267,9/21/1983
WR,Mike Williams,2508048,-0.40,Brock,2011,2,00-0027702,5/18/1987
TE,Fred Davis,216,14.60,Brock,2011,2,00-0026188,1/15/1986
Q/R/W/T,Kyle Orton,2506444,13.60,Brock,2011,2,00-0023541,11/14/1982
BN,Danny Woodhead,4327,4.70,Brock,2011,2,00-0026019,1/25/1985
BN,Knowshon Moreno,79619,0.00,Brock,2011,2,00-0026988,7/16/1987
BN,Mike Goodson,80644,2.14,Brock,2011,2,00-0027080,5/23/1987
BN,Luke McCown,2506053,-5.24,Brock,2011,2,00-0022864,7/12/1981
BN,Ronnie Brown,2506341,1.00,Brock,2011,2,00-0023437,12/12/1981
BN,Marcedes Lewis,2495888,0.00,Brock,2011,2,00-0024243,5/19/1984
K,Neil Rackers,2504287,11.00,Brock,2011,2,00-0019676,8/16/1976
DEF,Dallas Cowboys,100008,7.00,Brock,2011,2
QB,Philip Rivers,2506121,18.32,tim,2011,2,00-0022942,12/8/1981
RB,Ryan Mathews,497188,18.60,tim,2011,2,00-0027864,10/10/1987
RB,Joseph Addai,2495793,10.10,tim,2011,2,00-0024245,5/3/1983
WR,Roddy White,2506366,8.30,tim,2011,2,00-0023462,11/2/1981
WR,Vincent Jackson,2506400,29.20,tim,2011,2,00-0023496,1/14/1983
TE,Jason Witten,2505629,10.20,tim,2011,2,00-0022127,5/6/1982
Q/R/W/T,Eli Manning,2505996,13.72,tim,2011,2,00-0022803,1/3/1981
BN,Mario Manningham,1030,5.60,tim,2011,2,00-0026235,5/25/1986
BN,Montario Hardesty,497178,0.10,tim,2011,2,00-0027666,2/1/1987
BN,Ryan Grant,2506140,3.90,tim,2011,2,00-0022984,12/9/1982
BN,Jason Campbell,2506364,25.22,tim,2011,2,00-0023460,12/31/1981
BN,Marshawn Lynch,2495663,1.20,tim,2011,2,00-0025399,4/22/1986
BN,Michael Crabtree,71269,0.00,tim,2011,2,00-0026986,9/14/1987
K,Lawrence Tynes,2504346,4.00,tim,2011,2,00-0019778,5/3/1978
DEF,New York Giants,100023,13.00,tim,2011,2
QB,Tony Romo,2505354,21.80,Matt,2011,2,00-0021678,4/21/1980
RB,Arian Foster,79555,4.00,Matt,2011,2,00-0026796,8/24/1986
RB,James Starks,497206,11.50,Matt,2011,2,00-0027791,2/25/1986
WR,DeSean Jackson,1581,2.22,Matt,2011,2,00-0026189,12/1/1986
WR,A.J. Green,2495450,18.40,Matt,2011,2,00-0027942,7/31/1988
TE,Kellen Winslow,2506107,4.40,Matt,2011,2,00-0022922,7/21/1983
Q/R/W/T,Matt Cassel,2506562,-2.68,Matt,2011,2,00-0023662,5/17/1982
BN,Jacoby Ford,497288,0.00,Matt,2011,2,00-0027709,7/27/1987
BN,Thomas Jones,2504252,4.00,Matt,2011,2,00-0019641,8/19/1978
BN,Brandon Lloyd,2505600,0.00,Matt,2011,2,00-0022097,7/5/1981
BN,Michael Bush,2507192,8.30,Matt,2011,2,00-0025487,6/16/1984
BN,Jonathan Stewart,949,10.50,Matt,2011,2,00-0026153,3/21/1987
BN,Greg Olsen,2495700,3.40,Matt,2011,2,00-0025418,3/11/1985
K,Josh Brown,2505459,10.00,Matt,2011,2,00-0021940,4/29/1979
DEF,Atlanta Falcons,100001,2.00,Matt,2011,2
QB,Aaron Rodgers,2506363,21.62,Eric,2011,2,00-0023459,12/2/1983
RB,Darren McFadden,284,24.30,Eric,2011,2,00-0026144,8/27/1987
RB,LeGarrette Blount,497149,19.10,Eric,2011,2,00-0027325,12/5/1986
WR,Kenny Britt,71217,19.50,Eric,2011,2,00-0027006,9/19/1988
WR,Brandon Marshall,2495893,13.90,Eric,2011,2,00-0024334,3/23/1984
TE,Rob Gronkowski,497240,20.60,Eric,2011,2,00-0027656,5/14/1989
Q/R/W/T,Kevin Kolb,2507169,16.04,Eric,2011,2,00-0025423,8/24/1984
BN,Javon Ringer,79635,11.10,Eric,2011,2,00-0027120,2/2/1987
BN,Dwayne Bowe,2495558,11.30,Eric,2011,2,00-0025410,9/21/1984
BN,Andy Dalton,2495143,21.58,Eric,2011,2,00-0027973,10/29/1987
BN,Mark Ingram,2495466,3.10,Eric,2011,2,00-0027966,12/21/1989
BN,Jacquizz Rodgers,2495471,1.70,Eric,2011,2,00-0028083,2/6/1990
BN,Danny Amendola,2649,0.00,Eric,2011,2,00-0026035,11/2/1985
K,Billy Cundiff,2504941,7.00,Eric,2011,2,00-0020972,3/30/1980
DEF,Baltimore Ravens,100002,1.00,Eric,2011,2
QB,Ryan Fitzpatrick,2506581,22.86,Daniel,2011,2,00-0023682,11/24/1982
RB,Ahmad Bradshaw,2495560,10.40,Daniel,2011,2,00-0025637,3/19/1986
RB,Adrian Peterson,2507164,26.10,Daniel,2011,2,00-0025394,3/21/1985
WR,Reggie Wayne,2504747,6.60,Daniel,2011,2,00-0020498,11/17/1978
WR,Larry Fitzgerald,2506106,19.30,Daniel,2011,2,00-0022921,8/31/1983
TE,Vernon Davis,2495826,1.80,Daniel,2011,2,00-0024221,1/31/1984
Q/R/W/T,Colt McCoy,497123,13.44,Daniel,2011,2,00-0027688,9/5/1986
BN,Mike Thomas,81308,2.90,Daniel,2011,2,00-0027076,6/4/1987
BN,Tarvaris Jackson,2495863,7.56,Daniel,2011,2,00-0024279,4/21/1983
BN,Kerry Collins,2500150,7.54,Daniel,2011,2,00-0003292,12/30/1972
BN,Santana Moss,2504743,12.10,Daniel,2011,2,00-0020494,6/1/1979
BN,Carson Palmer,2505245,0.00,Daniel,2011,2,00-0021429,12/27/1979
BN,Steven Jackson,2505936,0.00,Daniel,2011,2,00-0022736,7/22/1983
K,Sebastian Janikowski,2504257,5.00,Daniel,2011,2,00-0019646,3/2/1978
DEF,Pittsburgh Steelers,100027,15.00,Daniel,2011,2
QB,Tom Brady,2504211,29.22,joe,2011,2,00-0019596,8/3/1977
RB,Peyton Hillis,1980,21.70,joe,2011,2,00-0026367,1/21/1986
RB,Maurice Jones-Drew,2495831,10.70,joe,2011,2,00-0024275,3/23/1985
WR,Steve Johnson,768,15.60,joe,2011,2,00-0026364,7/22/1986
WR,Deion Branch,2505062,12.90,joe,2011,2,00-0021192,7/18/1979
TE,Antonio Gates,2505299,0.00,joe,2011,2,00-0021547,6/18/1980
Q/R/W/T,Jay Cutler,2495824,12.96,joe,2011,2,00-0024226,4/29/1983
BN,Tim Hightower,4383,10.60,joe,2011,2,00-0026289,5/23/1986
BN,Jeremy Maclin,80429,29.20,joe,2011,2,00-0026995,5/11/1988
BN,Deji Karim,1037847,4.32,joe,2011,2,00-0027779,11/18/1986
BN,Chad Ochocinco,2504651,4.50,joe,2011,2,00-0020397,1/9/1978
BN,LaDainian Tomlinson,2504778,1.50,joe,2011,2,00-0020536,6/23/1979
BN,Chad Henne,252,11.40,joe,2011,2,00-0026197,7/2/1985
K,Jason Hanson,2501016,13.00,joe,2011,2,00-0006800,6/17/1970
DEF,Detroit Lions,100010,21.00,joe,2011,2
QB,Cam Newton,2495455,26.58,jordan,2011,2,00-0027939,5/11/1989
RB,Matt Forte,234,16.60,jordan,2011,2,00-0026184,12/10/1985
RB,Beanie Wells,79661,15.30,jordan,2011,2,00-0027007,8/7/1988
WR,Andre Johnson,2505551,15.30,jordan,2011,2,00-0022044,7/11/1981
WR,Anquan Boldin,2505587,4.60,jordan,2011,2,00-0022084,10/3/1980
TE,Jermaine Gresham,497238,0.80,jordan,2011,2,00-0027873,6/16/1988
Q/R/W/T,Felix Jones,931,3.00,jordan,2011,2,00-0026162,5/8/1987
BN,Jordy Nelson,1032,14.40,jordan,2011,2,00-0026176,5/31/1985
BN,Austin Collie,81282,2.40,jordan,2011,2,00-0027092,11/11/1985
BN,Dexter McCluster,497190,4.28,jordan,2011,2,00-0027651,8/25/1988
BN,Peyton Manning,2501863,0.00,jordan,2011,2,00-0010346,3/24/1976
BN,Donovan McNabb,2502044,10.32,jordan,2011,2,00-0011022,11/25/1976
BN,Willis McGahee,2505674,16.60,jordan,2011,2,00-0022178,10/21/1981
K,Rob Bironas,2504934,13.00,jordan,2011,2,00-0020962,1/29/1978
DEF,Chicago Bears,100005,-1.00,jordan,2011,2
QB,Matt Schaub,2505982,17.40,Jared,2011,2,00-0022787,6/25/1981
RB,Jamaal Charles,925,2.70,Jared,2011,2,00-0026213,12/27/1986
RB,Jahvid Best,497147,24.30,Jared,2011,2,00-0027880,1/30/1989
WR,Hakeem Nicks,80672,9.80,Jared,2011,2,00-0027005,1/14/1988
WR,Wes Welker,2505790,8.10,Jared,2011,2,00-0022427,5/1/1981
TE,Dallas Clark,2505664,9.20,Jared,2011,2,00-0022165,6/12/1979
Q/R/W/T,Fred Jackson,2506871,26.00,Jared,2011,2,00-0024204,2/20/1981
BN,Johnny Knox,79595,5.10,Jared,2011,2,00-0026913,11/3/1986
BN,Robert Meachem,2495676,7.70,Jared,2011,2,00-0025414,9/28/1984
BN,David Garrard,2505101,0.00,Jared,2011,2,00-0021231,2/14/1978
BN,Brandon Jacobs,2506448,12.70,Jared,2011,2,00-0023545,7/6/1982
BN,Pierre Thomas,2507141,5.50,Jared,2011,2,00-0024813,12/18/1984
BN,Darren Sproles,2506467,12.50,Jared,2011,2,00-0023564,6/20/1983
K,Stephen Gostkowski,2506922,9.00,Jared,2011,2,00-0024333,1/28/1984
DEF,New England Patriots,100021,9.00,Jared,2011,2
QB,Joe Flacco,382,7.88,Keenan,2011,2,00-0026158,1/16/1985
RB,Chris Johnson,262,6.50,Keenan,2011,2,00-0026164,9/23/1985
RB,Cedric Benson,2506343,7.60,Keenan,2011,2,00-0023439,12/28/1982
WR,Calvin Johnson,2495647,14.90,Keenan,2011,2,00-0025389,9/29/1985
WR,Steve Smith,2504595,13.60,Keenan,2011,2,00-0020337,5/12/1979
TE,Tony Gonzalez,2500835,20.30,Keenan,2011,2,00-0006101,2/27/1976
Q/R/W/T,Alex Smith,2506340,15.26,Keenan,2011,2,00-0023436,5/7/1984
BN,Shonn Greene,79563,11.50,Keenan,2011,2,00-0026899,8/21/1985
BN,Lee Evans,2506097,4.50,Keenan,2011,2,00-0022910,3/11/1981
BN,Reggie Bush,2506874,2.10,Keenan,2011,2,00-0024217,3/2/1985
BN,Steve Smith,2507175,2.90,Keenan,2011,2,00-0025438,5/6/1985
BN,Donald Brown,2507779,0.00,Keenan,2011,2,00-0027003,4/11/1987
BN,Dez Bryant,497278,0.00,Keenan,2011,2,00-0027902,11/4/1988
